descArea,codRisco,idMtzRisco,descricao,a_sistema,gau_de_risco,bgcolor,fgcolor,ProcessoPri,programas,processoSec,programasSec
Aplicações/Empréstimo,AE01,43,"Usuários podem criar uma Operação de investimento fraudulento. (APL)",D,MEDIO,#FF8C00,#FFFF,"Manutenção Dados Mestre de Operações Financeiras",bas_operac_financ,"Manutenção Dados Mestre de Operações Financeiras",bas_operac_financ
Aplicações/Empréstimo,AE02,44,"Usuários podems criar movimentações (APL) fictícias e confirmar a movimentação.",D,ALTO,#ff0000,#000000,"Processar Movimento de Aplicação/Empréstimo","bas_movto_operac_financ_aplicacao | bas_movto_operac_financ_diario_empr","Pagamentos (Contas a Pagar)","bas_antecip_pef_pend_pef | bas_bord_ap | bas_bord_ap_confirmacao | bas_bord_ap_enviar_msg_edi | bas_bord_ap_impressao | bas_cheq_ap_confirmacao | bas_lote_impl_tit_ap | bas_lote_pagto | bas_lote_pagto_enctro_ctas | bas_proces_pagto_prepar_pagto | fnc_cheq_ap_emissao | rpt_bord_ap_ret_pagto_escr"
"Ativo Fixo",AF01,45,"Mudança dados mestres de ativos fixo.",D,ALTO,#ff0000,#000000,"Manutenção Dados Mestre de Ativo Fixo","bas_bem_pat | bas_bem_pat_imobdo | bas_incorp_bem_pat | fnc_bem_pat_import","Manutenção Dados Mestre de Ativo Fixo","bas_bem_pat | bas_bem_pat_imobdo | bas_incorp_bem_pat | fnc_bem_pat_import"
"Ativo Fixo",AF02,46,"O responsável pelos registros mestres de ativos pode processar transações que permitiriam que o ativo fosse depreciado com o tempo.",D,MEDIO,#FF8C00,#FFFF,"Manutenção Dados Mestre de Ativo Fixo","bas_bem_pat | bas_bem_pat_imobdo | bas_incorp_bem_pat | fnc_bem_pat_import","Manutenção Documento Imobilizado","bas_apol_seguro_calc_amort | bas_bem_pat_ajuste_vida_util | bas_bem_pat_aloc | bas_bem_pat_baixa | bas_bem_pat_calculo | bas_bem_pat_calculo_movto | bas_bem_pat_cancelar_conj | bas_bem_pat_estorn_bxa | bas_bem_pat_exc_calc | bas_bem_pat_exc_movto | bas_bem_pat_rateio_valores | bas_bem_pat_reclassif_conta | bas_bem_pat_transf_ext | bas_bem_pat_uniao | bas_contrat_leas_calc_amort | bas_contrat_leas_exc_calc | bas_incorp_bem_pat_reaval | fnc_bem_pat_desmembramento | rpt_bem_pat_calculo_mapa"
"Ativo Fixo",AF03,47,"Criar o ativo e manipular o recebimento do ativo associado.",D,ALTO,#ff0000,#000000,"Manutenção Dados Mestre de Ativo Fixo","bas_bem_pat | bas_bem_pat_imobdo | bas_incorp_bem_pat | fnc_bem_pat_import","Pagamentos (Contas a Pagar)","bas_antecip_pef_pend_pef | bas_bord_ap | bas_bord_ap_confirmacao | bas_bord_ap_enviar_msg_edi | bas_bord_ap_impressao | bas_cheq_ap_confirmacao | bas_lote_impl_tit_ap | bas_lote_pagto | bas_lote_pagto_enctro_ctas | bas_proces_pagto_prepar_pagto | fnc_cheq_ap_emissao | rpt_bord_ap_ret_pagto_escr"
"Caixa e Bancos",CB01,50,"Criar uma conta bancários ilegítima.",D,ALTO,#ff0000,#000000,"Manutenção Dados Mestre de Bancos","bas_banco | bas_cta_corren | bas_portador | bas_portad_bco | bas_portad_edi | bas_portad_finalid_econ | bas_talon_cheq","Manutenção Dados Mestre de Bancos","bas_banco | bas_cta_corren | bas_portador | bas_portad_bco | bas_portad_edi | bas_portad_finalid_econ | bas_talon_cheq"
"Caixa e Bancos",CB02,51,"Criar uma conta bancária ilegítima e criar um pagamento a partir dela.",D,ALTO,#ff0000,#000000,"Manutenção Dados Mestre de Bancos","bas_banco | bas_cta_corren | bas_portador | bas_portad_bco | bas_portad_edi | bas_portad_finalid_econ | bas_talon_cheq","Pagamentos (Contas a Pagar)","bas_antecip_pef_pend_pef | bas_bord_ap | bas_bord_ap_confirmacao | bas_bord_ap_enviar_msg_edi | bas_bord_ap_impressao | bas_cheq_ap_confirmacao | bas_lote_impl_tit_ap | bas_lote_pagto | bas_lote_pagto_enctro_ctas | bas_proces_pagto_prepar_pagto | fnc_cheq_ap_emissao | rpt_bord_ap_ret_pagto_escr"
"Caixa e Bancos",CB03,60,"Criar uma conta bancária ilegítima e criar pagamentos manuais a partir dela.",D,ALTO,#ff0000,#000000,"Manutenção Dados Mestre de Bancos","bas_banco | bas_cta_corren | bas_portador | bas_portad_bco | bas_portad_edi | bas_portad_finalid_econ | bas_talon_cheq","Processar Pagamentos Manualmente","bas_cheq_ap_altera_numero | bas_cheq_ap_confirmacao | bas_cheq_ap_estorno | bas_lote_pagto | fnc_cheq_ap_emissao | fnc_cheq_ap_reemissao"
"Caixa e Bancos",CB04,71,"Criar documento de faturamento para o cliente e lançar inadequadamente um pagamento do mesmo cliente para ocultar a ausência de pagamento.",D,ALTO,#ff0000,#000000,"Pagamentos (Contas a Receber)","bas_lote_liquidac_acr | bas_tit_acr_alteracao | bas_tit_acr_estorno | fnc_liquidac_tit_acr | rpt_item_lote_liquidac_acr_cobr_escr","Manutenção Documentos Faturamento","ft0502 | ft1001 | ft2200 | ft4001 | ft4002 | ft4003"
"Caixa e Bancos",CB05,72,"O usuário pode criar/alterar uma fatura e inserir/alterar pagamentos contra a mesma.",D,ALTO,#ff0000,#000000,"Pagamentos (Contas a Receber)","bas_lote_liquidac_acr | bas_tit_acr_alteracao | bas_tit_acr_estorno | fnc_liquidac_tit_acr | rpt_item_lote_liquidac_acr_cobr_escr","Manutenção Documentos Faturamento","ft0502 | ft1001 | ft2200 | ft4001 | ft4002 | ft4003"
